position_id,as_of_date,client_id,portfolio,security_id,quantity,market_value,source_system,base_currency
POS0000060,2026-05-14,CL219,PORT-006,SEC00052,66071.0,268399.48,ABOR,GBP
POS0000061,2026-05-18,CL822,PORT-046,SEC00111,71270.0,197100.72,Custodian,JPY
POS0000062,2026-05-15,CL602,PORT-044,SEC00298,61432.0,198524.43,Custodian,USD
POS0000063,2026-05-14,CL174,PORT-014,SEC00149,27850.0,188774.16,IBOR,EUR
POS0000064,2026-05-16,CL459,PORT-044,SEC00316,26572.0,133272.77,IBOR,INR
POS0000065,2026-05-17,CL226,PORT-065,SEC00051,52138.0,18939.63,Custodian,JPY
POS0000066,2026-05-18,CL981,PORT-026,SEC00039,51984.0,408760.87,ABOR,JPY
POS0000067,2026-05-15,CL632,PORT-058,SEC00180,37692.0,107276.02,Custodian,CAD
POS0000068,2026-05-19,CL827,PORT-077,SEC00218,78416.0,140795.77,IBOR,GBP
POS0000069,2026-05-19,CL436,PORT-036,SEC00314,41183.0,142603.63,Custodian,INR
POS0000070,2026-05-16,CL231,PORT-009,SEC00149,8339.0,101693.43,Custodian,INR
POS0000071,2026-05-19,CL311,PORT-024,SEC00064,45071.0,187990.01,Custodian,GBP
POS0000072,2026-05-18,CL474,PORT-011,SEC00173,60566.0,158484.57,IBOR,EUR
POS0000073,2026-05-16,CL792,PORT-028,SEC00098,57523.0,105881.77,ABOR,GBP
POS0000074,2026-05-18,CL487,PORT-051,SEC00057,57353.0,178007.54,Custodian,CAD
POS0000075,2026-05-14,CL934,PORT-017,SEC00028,82868.0,159559.47,ABOR,EUR
POS0000076,2026-05-14,CL425,PORT-041,SEC00231,25475.0,283992.51,IBOR,JPY
POS0000077,2026-05-19,CL309,PORT-079,SEC00205,40678.0,72821.78,ABOR,USD
POS0000078,2026-05-18,CL545,PORT-021,SEC00053,83991.0,100384.83,IBOR,GBP
POS0000079,2026-05-14,CL199,PORT-070,SEC00178,6718.0,251495.04,IBOR,CAD
POS0000080,2026-05-19,CL702,PORT-025,SEC00283,48819.0,110874.5,IBOR,JPY
POS0000081,2026-05-17,CL190,PORT-049,SEC00261,77036.0,94651.66,ABOR,INR
POS0000082,2026-05-14,CL676,PORT-013,SEC00145,76708.0,114213.57,IBOR,EUR
POS0000083,2026-05-16,CL443,PORT-022,SEC00018,64523.0,153186.71,ABOR,INR
POS0000084,2026-05-18,CL421,PORT-069,SEC00203,65080.0,153536.35,IBOR,CAD
POS0000085,2026-05-19,CL649,PORT-047,SEC00165,27097.0,143490.62,Custodian,CAD
POS0000086,2026-05-17,CL733,PORT-045,SEC00294,80210.0,87803.87,Custodian,GBP
POS0000087,2026-05-16,CL935,PORT-041,SEC00177,23599.0,258821.87,IBOR,INR
POS0000088,2026-05-19,CL360,PORT-020,SEC00236,24911.0,360674.75,Custodian,CAD
POS0000089,2026-05-16,CL829,PORT-074,SEC00169,58533.0,51727.39,Custodian,INR
POS0000090,2026-05-17,CL851,PORT-032,SEC00173,39154.0,64079.23,IBOR,CAD
POS0000091,2026-05-18,CL995,PORT-001,SEC00101,54547.0,297067.36,Custodian,USD
POS0000092,2026-05-14,CL966,PORT-072,SEC00128,59477.0,417432.36,ABOR,JPY
POS0000093,2026-05-14,CL810,PORT-004,SEC00094,89118.0,45364.84,ABOR,INR
POS0000094,2026-05-15,CL364,PORT-071,SEC00147,59542.0,265471.27,ABOR,INR
POS0000095,2026-05-16,CL724,PORT-022,SEC00304,36392.0,434837.61,IBOR,USD
POS0000096,2026-05-17,CL805,PORT-006,SEC00109,64883.0,97008.38,Custodian,JPY
POS0000097,2026-05-19,CL362,PORT-018,SEC00148,31701.0,419912.11,ABOR,USD
POS0000098,2026-05-18,CL831,PORT-052,SEC00302,70089.0,146269.11,IBOR,USD
POS0000099,2026-05-19,CL731,PORT-044,SEC00048,51422.0,196571.65,IBOR,USD
POS0000100,2026-05-17,CL541,PORT-013,SEC00080,58812.0,105710.55,IBOR,CAD
POS0000101,2026-05-17,CL874,PORT-024,SEC00157,10826.0,296741.63,Custodian,EUR
POS0000102,2026-05-16,CL178,PORT-017,SEC00130,484.0,268517.47,IBOR,GBP
POS0000103,2026-05-17,CL714,PORT-052,SEC00109,16969.0,458092.14,IBOR,EUR
POS0000104,2026-05-18,CL806,PORT-069,SEC00249,88407.0,386298.02,ABOR,CAD
POS0000105,2026-05-15,CL136,PORT-021,SEC00159,24741.0,161863.71,IBOR,CAD
POS0000106,2026-05-19,CL466,PORT-071,SEC00116,66111.0,1050763.05,ABOR,JPY
POS0000107,2026-05-19,CL564,PORT-033,SEC00153,35878.0,366031.83,ABOR,INR
POS0000108,2026-05-15,CL287,PORT-007,SEC00283,44719.0,225102.16,Custodian,USD
POS0000109,2026-05-16,CL890,PORT-026,SEC00314,49016.0,89474.36,Custodian,CAD
POS0000110,2026-05-14,CL663,PORT-070,SEC00077,86163.0,64989.46,IBOR,GBP
POS0000111,2026-05-15,CL347,PORT-064,SEC00012,62859.0,68390.1,ABOR,GBP
POS0000112,2026-05-14,CL492,PORT-058,SEC00010,58471.0,92948.49,IBOR,EUR
POS0000113,2026-05-16,CL200,PORT-032,SEC00142,78527.0,371900.49,Custodian,CAD
POS0000114,2026-05-14,CL178,PORT-062,SEC00201,36070.0,218000.66,IBOR,EUR
POS0000115,2026-05-18,CL771,PORT-057,SEC00016,73504.0,112642.69,ABOR,CAD
POS0000116,2026-05-16,CL984,PORT-063,SEC00162,69829.0,150013.2,Custodian,INR
POS0000117,2026-05-14,CL348,PORT-045,SEC00127,69578.0,139434.77,IBOR,INR
POS0000118,2026-05-15,CL319,PORT-041,SEC00298,46590.0,263031.85,IBOR,USD
POS0000119,2026-05-17,CL714,PORT-077,SEC00193,40379.0,96059.33,IBOR,INR
POS0000120,2026-05-14,CL559,PORT-075,SEC00135,30864.0,200749.24,Custodian,CAD
POS0000121,2026-05-18,CL225,PORT-043,SEC00187,32242.0,194862.89,ABOR,GBP
POS0000122,2026-05-19,CL699,PORT-016,SEC00043,29826.0,97799.94,ABOR,GBP
POS0000123,2026-05-15,CL288,PORT-033,SEC00152,58071.0,422018.16,IBOR,USD
POS0000124,2026-05-17,CL203,PORT-040,SEC00105,44977.0,136305.95,IBOR,GBP
POS0000125,2026-05-19,CL517,PORT-054,SEC00057,59491.0,89711.11,IBOR,INR
POS0000126,2026-05-18,CL764,PORT-026,SEC00125,60733.0,271502.87,Custodian,EUR
POS0000127,2026-05-19,CL568,PORT-004,SEC00204,26685.0,168164.4,Custodian,INR
POS0000128,2026-05-14,CL682,PORT-065,SEC00186,26025.0,207950.84,ABOR,USD
POS0000129,2026-05-14,CL313,PORT-075,SEC00308,44969.0,79952.83,Custodian,INR
POS0000130,2026-05-14,CL543,PORT-007,SEC00087,32947.0,264990.63,ABOR,JPY
POS0000131,2026-05-18,CL740,PORT-026,SEC00223,30631.0,599263.7,IBOR,EUR
POS0000132,2026-05-15,CL574,PORT-035,SEC00176,87305.0,76290.2,IBOR,GBP
POS0000133,2026-05-16,CL315,PORT-061,SEC00279,16266.0,201294.7,Custodian,EUR
POS0000134,2026-05-18,CL958,PORT-062,SEC00290,94507.0,101601.56,ABOR,JPY
POS0000135,2026-05-15,CL160,PORT-028,SEC00226,56355.0,817301.74,IBOR,JPY
POS0000136,2026-05-14,CL918,PORT-025,SEC00135,71697.0,342415.26,ABOR,JPY
POS0000137,2026-05-17,CL751,PORT-033,SEC00170,69103.0,192772.19,ABOR,EUR
POS0000138,2026-05-19,CL200,PORT-019,SEC00208,63573.0,77907.66,Custodian,EUR
POS0000139,2026-05-14,CL329,PORT-035,SEC00257,86560.0,90072.16,ABOR,INR
POS0000140,2026-05-18,CL431,PORT-021,SEC00073,26187.0,254680.4,IBOR,GBP
POS0000141,2026-05-18,CL960,PORT-005,SEC00279,46560.0,71862.13,Custodian,GBP
POS0000142,2026-05-16,CL564,PORT-057,SEC00256,31237.0,73227.89,IBOR,EUR
POS0000143,2026-05-15,CL332,PORT-063,SEC00028,12686.0,163619.48,IBOR,CAD
POS0000144,2026-05-15,CL927,PORT-023,SEC00086,35453.0,176318.98,IBOR,EUR
POS0000145,2026-05-14,CL206,PORT-032,SEC00075,91196.0,204437.76,Custodian,INR
POS0000146,2026-05-14,CL834,PORT-032,SEC00185,46184.0,125026.98,ABOR,INR
POS0000147,2026-05-19,CL846,PORT-002,SEC00066,93637.0,282684.84,Custodian,EUR
POS0000148,2026-05-18,CL447,PORT-044,SEC00096,95888.0,97043.17,IBOR,USD
POS0000149,2026-05-15,CL138,PORT-037,SEC00060,115893.0,237040.58,ABOR,EUR
POS0000150,2026-05-17,CL896,PORT-075,SEC00021,91921.0,185066.85,Custodian,EUR
POS0000151,2026-05-15,CL969,PORT-030,SEC00146,101879.0,233372.1,IBOR,INR
POS0000152,2026-05-17,CL439,PORT-063,SEC00102,57154.0,330776.71,IBOR,JPY
POS0000153,2026-05-17,CL266,PORT-031,SEC00161,55023.0,123846.8,ABOR,GBP
POS0000154,2026-05-19,CL343,PORT-015,SEC00067,56486.0,109464.27,ABOR,GBP
POS0000155,2026-05-16,CL222,PORT-028,SEC00091,50001.0,59098.67,ABOR,CAD
POS0000156,2026-05-14,CL648,PORT-070,SEC00285,53293.0,48465.08,IBOR,CAD
POS0000157,2026-05-15,CL566,PORT-021,SEC00257,66548.0,146446.51,IBOR,USD
POS0000158,2026-05-17,CL419,PORT-067,SEC00085,39752.0,152586.4,Custodian,CAD
POS0000159,2026-05-15,CL684,PORT-053,SEC00051,19692.0,84825.38,ABOR,GBP
POS0000160,2026-05-18,CL659,PORT-059,SEC00311,58000.0,96504.04,Custodian,INR
POS0000161,2026-05-16,CL110,PORT-060,SEC00217,34758.0,405985.33,IBOR,CAD
POS0000162,2026-05-17,CL468,PORT-041,SEC00157,37036.0,275268.94,ABOR,JPY
POS0000163,2026-05-14,CL876,PORT-048,SEC00223,46859.0,76346.38,ABOR,JPY
POS0000164,2026-05-15,CL815,PORT-006,SEC00070,41813.0,124815.41,Custodian,GBP
POS0000165,2026-05-19,CL868,PORT-056,SEC00137,74421.0,207648.41,ABOR,USD
POS0000166,2026-05-14,CL957,PORT-057,SEC00125,46332.0,111762.28,IBOR,USD
POS0000167,2026-05-15,CL155,PORT-009,SEC00230,75530.0,100185.91,IBOR,GBP
POS0000168,2026-05-18,CL343,PORT-041,SEC00058,54532.0,132860.17,Custodian,INR
POS0000169,2026-05-18,CL512,PORT-041,SEC00156,48052.0,313137.14,ABOR,GBP
POS0000170,2026-05-18,CL558,PORT-025,SEC00266,53481.0,330658.3,IBOR,GBP
POS0000171,2026-05-18,CL806,PORT-006,SEC00062,21584.0,104687.18,Custodian,JPY
POS0000172,2026-05-14,CL751,PORT-001,SEC00038,57438.0,214556.99,Custodian,EUR
POS0000173,2026-05-14,CL734,PORT-017,SEC00262,68682.0,162129.87,ABOR,GBP
POS0000174,2026-05-16,CL242,PORT-019,SEC00279,71799.0,88881.45,Custodian,JPY
POS0000175,2026-05-17,CL709,PORT-017,SEC00137,20252.0,136183.06,IBOR,CAD
POS0000176,2026-05-17,CL815,PORT-048,SEC00014,16582.0,76226.12,ABOR,INR
POS0000177,2026-05-14,CL776,PORT-034,SEC00173,38190.0,327038.49,ABOR,INR
POS0000178,2026-05-18,CL624,PORT-009,SEC00095,80463.0,413115.8,Custodian,JPY
POS0000179,2026-05-15,CL179,PORT-007,SEC00187,54861.0,127217.84,Custodian,INR
POS0000180,2026-05-14,CL234,PORT-052,SEC00044,32957.0,110255.14,Custodian,USD
POS0000181,2026-05-14,CL768,PORT-074,SEC00257,18035.0,306433.69,ABOR,USD
POS0000182,2026-05-15,CL880,PORT-065,SEC00219,34952.0,337624.42,IBOR,CAD
POS0000183,2026-05-14,CL841,PORT-060,SEC00206,33466.0,83395.79,ABOR,JPY
POS0000184,2026-05-18,CL483,PORT-026,SEC00163,70584.0,148921.29,Custodian,USD
POS0000185,2026-05-14,CL627,PORT-056,SEC00070,72276.0,157099.87,ABOR,GBP
POS0000186,2026-05-19,CL258,PORT-007,SEC00300,26902.0,102491.41,Custodian,CAD
POS0000187,2026-05-19,CL632,PORT-014,SEC00085,66570.0,205168.94,Custodian,USD
POS0000188,2026-05-18,CL275,PORT-012,SEC00117,64317.0,106941.03,IBOR,GBP
POS0000189,2026-05-16,CL814,PORT-015,SEC00296,24047.0,117694.03,IBOR,CAD
POS0000190,2026-05-18,CL806,PORT-029,SEC00013,48156.0,153153.25,IBOR,CAD
POS0000191,2026-05-16,CL145,PORT-004,SEC00040,57498.0,66606.85,Custodian,GBP
POS0000192,2026-05-19,CL941,PORT-065,SEC00243,53591.0,47388.18,IBOR,CAD
POS0000193,2026-05-15,CL815,PORT-057,SEC00117,12368.0,282367.14,IBOR,INR
POS0000194,2026-05-18,CL440,PORT-051,SEC00185,52886.0,104381.33,ABOR,GBP
POS0000195,2026-05-16,CL505,PORT-014,SEC00185,63998.0,585908.23,ABOR,INR
POS0000196,2026-05-19,CL170,PORT-069,SEC00264,84751.0,531310.97,IBOR,INR
POS0000197,2026-05-14,CL941,PORT-001,SEC00198,35287.0,120103.94,ABOR,EUR
POS0000198,2026-05-17,CL190,PORT-079,SEC00136,38000.0,662272.11,IBOR,USD
POS0000199,2026-05-16,CL929,PORT-058,SEC00175,45405.0,285656.33,IBOR,INR
POS0000200,2026-05-17,CL688,PORT-017,SEC00236,56407.0,110504.52,ABOR,USD
POS0000201,2026-05-16,CL925,PORT-016,SEC00121,52134.0,34575.35,IBOR,INR
POS0000202,2026-05-17,CL433,PORT-055,SEC00054,63295.0,245952.35,IBOR,GBP
POS0000203,2026-05-19,CL905,PORT-064,SEC00155,25246.0,165839.8,IBOR,INR
POS0000204,2026-05-15,CL483,PORT-037,SEC00319,58731.0,210832.01,ABOR,JPY
POS0000205,2026-05-16,CL414,PORT-005,SEC00035,33671.0,141874.52,ABOR,USD
POS0000206,2026-05-18,CL403,PORT-039,SEC00055,46847.0,81935.35,IBOR,USD
POS0000207,2026-05-19,CL955,PORT-038,SEC00318,87576.0,125968.1,Custodian,JPY
POS0000208,2026-05-14,CL518,PORT-026,SEC00265,19239.0,248694.96,IBOR,JPY
POS0000209,2026-05-18,CL530,PORT-072,SEC00037,43852.0,131580.59,IBOR,USD
POS0000210,2026-05-14,CL678,PORT-028,SEC00067,21958.0,131104.41,ABOR,CAD
POS0000211,2026-05-15,CL599,PORT-020,SEC00221,53367.0,65405.9,ABOR,EUR
POS0000212,2026-05-14,CL586,PORT-054,SEC00250,73061.0,171908.96,Custodian,CAD
POS0000213,2026-05-16,CL440,PORT-049,SEC00234,53732.0,83519.95,ABOR,USD
POS0000214,2026-05-18,CL247,PORT-050,SEC00275,47432.0,282410.15,ABOR,EUR
POS0000215,2026-05-19,CL994,PORT-040,SEC00162,79225.0,104771.75,ABOR,JPY
POS0000216,2026-05-18,CL541,PORT-026,SEC00280,57271.0,136295.08,IBOR,JPY
POS0000217,2026-05-17,CL974,PORT-021,SEC00190,68030.0,596234.99,Custodian,JPY
POS0000218,2026-05-16,CL514,PORT-010,SEC00152,65736.0,135409.05,IBOR,EUR
POS0000219,2026-05-14,CL638,PORT-015,SEC00203,-13277.0,124948.27,ABOR,EUR
POS0000220,2026-05-19,CL590,PORT-046,SEC00137,48313.0,231277.41,IBOR,EUR
POS0000221,2026-05-16,CL968,PORT-033,SEC00194,26282.0,55761.72,ABOR,GBP
POS0000222,2026-05-19,CL199,PORT-059,SEC00266,31755.0,344719.25,Custodian,CAD
POS0000223,2026-05-17,CL565,PORT-064,SEC00306,82441.0,295482.24,ABOR,GBP
POS0000224,2026-05-19,CL238,PORT-045,SEC00185,41754.0,222942.92,Custodian,CAD
POS0000225,2026-05-17,CL880,PORT-009,SEC00001,91637.0,21455.61,ABOR,EUR
POS0000226,2026-05-16,CL576,PORT-001,SEC00198,19031.0,139295.52,ABOR,EUR
POS0000227,2026-05-15,CL929,PORT-019,SEC00080,26159.0,75832.35,ABOR,USD
POS0000228,2026-05-15,CL347,PORT-023,SEC00075,66772.0,319484.51,IBOR,EUR
POS0000229,2026-05-16,CL246,PORT-006,SEC00281,42490.0,306060.06,IBOR,EUR
POS0000230,2026-05-18,CL665,PORT-062,SEC00142,56761.0,205418.77,ABOR,GBP
POS0000231,2026-05-14,CL231,PORT-029,SEC00252,47529.0,79073.52,Custodian,INR
POS0000232,2026-05-14,CL435,PORT-059,SEC00118,46863.0,398944.08,Custodian,GBP
POS0000233,2026-05-14,CL382,PORT-017,SEC00194,43307.0,139057.57,Custodian,INR
POS0000234,2026-05-15,CL298,PORT-001,SEC00212,53949.0,480807.68,Custodian,USD
POS0000235,2026-05-15,CL217,PORT-011,SEC00285,64116.0,190847.94,IBOR,CAD
POS0000236,2026-05-19,CL690,PORT-038,SEC00062,85517.0,220595.24,IBOR,USD
POS0000237,2026-05-16,CL781,PORT-038,SEC00179,45545.0,123477.89,IBOR,USD
POS0000238,2026-05-17,CL454,PORT-035,SEC00129,41340.0,378576.46,Custodian,GBP
POS0000239,2026-05-18,CL352,PORT-076,SEC00148,38506.0,234464.7,IBOR,JPY
POS0000240,2026-05-19,CL241,PORT-052,SEC00271,82335.0,386827.84,IBOR,EUR
POS0000241,2026-05-18,CL708,PORT-058,SEC00043,65187.0,181049.31,Custodian,USD
POS0000242,2026-05-14,CL827,PORT-010,SEC00174,8221.0,158225.55,ABOR,CAD
POS0000243,2026-05-14,CL592,PORT-037,SEC00124,7251.0,232600.6,ABOR,INR
POS0000244,2026-05-15,CL488,PORT-050,SEC00286,31739.0,386746.34,ABOR,INR
POS0000245,2026-05-19,CL682,PORT-047,SEC00069,55063.0,299551.19,Custodian,EUR
POS0000246,2026-05-15,CL922,PORT-075,SEC00074,49264.0,176828.26,IBOR,JPY
POS0000247,2026-05-19,CL989,PORT-038,SEC00029,61325.0,53405.49,ABOR,INR
POS0000248,2026-05-15,CL273,PORT-030,SEC00140,46140.0,264668.04,IBOR,GBP
POS0000249,2026-05-19,CL528,PORT-075,SEC00003,80743.0,68650.05,Custodian,EUR
POS0000250,2026-05-18,CL887,PORT-027,SEC00160,66986.0,166209.36,IBOR,INR
POS0000251,2026-05-19,CL668,PORT-046,SEC00071,51707.0,151833.57,Custodian,CAD
POS0000252,2026-05-14,CL833,PORT-003,SEC00128,75197.0,69517.86,IBOR,USD
POS0000253,2026-05-16,CL995,PORT-014,SEC00193,13724.0,203516.4,IBOR,INR
POS0000254,2026-05-14,CL193,PORT-005,SEC00219,48128.0,592787.13,ABOR,CAD
POS0000255,2026-05-19,CL650,PORT-034,SEC00019,53025.0,134919.92,ABOR,JPY
POS0000256,2026-05-15,CL577,PORT-074,SEC00047,63245.0,257693.92,IBOR,USD
POS0000257,2026-05-17,CL355,PORT-006,SEC00101,12266.0,668916.09,IBOR,INR
POS0000258,2026-05-17,CL687,PORT-078,SEC00166,44271.0,273093.07,Custodian,CAD
POS0000259,2026-05-14,CL193,PORT-069,SEC00282,58810.0,110535.72,ABOR,EUR
POS0000260,2026-05-19,CL545,PORT-001,SEC00044,60498.0,187626.56,Custodian,USD
POS0000261,2026-05-14,CL472,PORT-002,SEC00021,76095.0,217177.03,ABOR,EUR
POS0000262,2026-05-19,CL450,PORT-072,SEC00201,66753.0,384726.46,ABOR,INR
POS0000263,2026-05-17,CL652,PORT-047,SEC00313,48661.0,337199.56,ABOR,JPY
POS0000264,2026-05-19,CL948,PORT-014,SEC00265,64849.0,30886.36,ABOR,USD
POS0000265,2026-05-16,CL951,PORT-076,SEC00180,45570.0,97370.37,Custodian,JPY
POS0000266,2026-05-16,CL730,PORT-045,SEC00006,53229.0,156058.15,ABOR,INR
POS0000267,2026-05-16,CL397,PORT-051,SEC00184,67486.0,88506.19,IBOR,EUR
POS0000268,2026-05-15,CL968,PORT-054,SEC00146,49003.0,17675.68,IBOR,JPY
POS0000269,2026-05-15,CL997,PORT-016,SEC00143,57964.0,105306.34,ABOR,EUR
POS0000270,2026-05-14,CL860,PORT-029,SEC00157,71149.0,162402.59,IBOR,USD
POS0000271,2026-05-17,CL884,PORT-011,SEC00179,65668.0,118756.35,IBOR,GBP
POS0000272,2026-05-18,CL834,PORT-042,SEC00230,77136.0,89485.69,Custodian,INR
POS0000273,2026-05-19,CL783,PORT-078,SEC00061,101226.0,166854.72,Custodian,INR
POS0000274,2026-05-18,CL752,PORT-050,SEC00023,65464.0,199956.06,ABOR,USD
POS0000275,2026-05-16,CL673,PORT-055,SEC00016,39852.0,122865.03,IBOR,EUR
POS0000276,2026-05-19,CL680,PORT-016,SEC00129,61260.0,370662.16,Custodian,JPY
POS0000277,2026-05-14,CL450,PORT-043,SEC00162,60314.0,168489.49,ABOR,EUR
POS0000278,2026-05-14,CL897,PORT-079,SEC00251,63497.0,96480.08,ABOR,EUR
POS0000279,2026-05-19,CL670,PORT-007,SEC00138,82890.0,82890.65,Custodian,GBP
POS0000280,2026-05-15,CL651,PORT-017,SEC00170,12950.0,143231.59,Custodian,INR
POS0000281,2026-05-16,CL766,PORT-057,SEC00312,83304.0,317442.63,Custodian,JPY
POS0000282,2026-05-17,CL167,PORT-001,SEC00239,90709.0,99288.67,Custodian,CAD
POS0000283,2026-05-15,CL926,PORT-017,SEC00221,62498.0,232705.2,ABOR,USD
POS0000284,2026-05-16,CL623,PORT-075,SEC00116,63027.0,172255.5,Custodian,GBP
POS0000285,2026-05-18,CL949,PORT-002,SEC00048,44684.0,538175.39,ABOR,JPY
POS0000286,2026-05-16,CL192,PORT-034,SEC00294,50139.0,205695.23,IBOR,INR
POS0000287,2026-05-19,CL310,PORT-027,SEC00177,65355.0,107051.39,Custodian,JPY
POS0000288,2026-05-18,CL953,PORT-032,SEC00024,63938.0,253171.33,ABOR,CAD
POS0000289,2026-05-14,CL722,PORT-021,SEC00154,65856.0,258335.19,Custodian,CAD
POS0000290,2026-05-18,CL681,PORT-022,SEC00029,63787.0,128257.26,ABOR,INR
POS0000291,2026-05-16,CL463,PORT-061,SEC00314,69765.0,80951.26,Custodian,GBP
