trade_id,trade_date,settlement_date,security_id,client_id,portfolio,quantity,trade_price,trade_currency,status,source_system
TRD0000017,2026-05-08,2026-05-17,SEC00233,CL754,PORT-058,16461.0,78.63,CAD,Booked,SimCorp
TRD0000018,2026-05-04,2026-04-27,SEC00259,CL347,PORT-011,17690.0,71.54,INR,Cancelled,SimCorp
TRD0000019,2026-04-19,2026-04-26,SEC00245,CL614,PORT-051,15466.0,69.33,USD,Booked,Bloomberg AIM
TRD0000020,2026-05-01,2026-05-20,SEC00028,CL890,PORT-070,22659.0,120.03,CAD,Booked,Aladdin
TRD0000021,2026-04-30,2026-04-27,SEC00044,CL694,PORT-011,12597.0,53.6,GBP,Unmatched,Murex
TRD0000022,2026-05-12,2026-04-19,SEC00126,CL526,PORT-067,16567.0,104.43,USD,Matched,Aladdin
TRD0000023,2026-05-08,2026-05-05,SEC00108,CL270,PORT-009,336.0,51.58,CAD,Matched,Bloomberg AIM
TRD0000024,2026-04-16,2026-04-27,SEC00239,CL406,PORT-069,30923.0,98.31,GBP,Matched,Murex
TRD0000025,2026-04-12,2026-05-09,SEC00049,CL863,PORT-063,16346.0,102.69,EUR,Unmatched,Aladdin
TRD0000026,2026-04-14,2026-05-09,SEC00118,CL294,PORT-012,21417.0,60.19,USD,Booked,Aladdin
TRD0000027,2026-05-06,2026-05-16,SEC00075,CL690,PORT-058,28933.0,119.26,CAD,Booked,SimCorp
TRD0000028,2026-05-13,2026-05-07,SEC00060,CL535,PORT-010,20252.0,78.58,EUR,Unmatched,Murex
TRD0000029,2026-05-12,2026-04-15,SEC00055,CL388,PORT-045,28833.0,49.06,JPY,Matched,Bloomberg AIM
TRD0000030,2026-05-02,2026-04-09,SEC00062,CL744,PORT-073,8687.0,58.5,EUR,Cancelled,SimCorp
TRD0000031,2026-04-26,2026-04-23,SEC00180,CL425,PORT-017,35980.0,99.13,CAD,Booked,Murex
TRD0000032,2026-04-09,2026-04-23,SEC00131,CL357,PORT-014,26153.0,92.12,INR,Unmatched,SimCorp
TRD0000033,2026-04-09,2026-04-24,SEC00139,CL575,PORT-034,19569.0,46.05,JPY,Booked,Murex
TRD0000034,2026-05-19,2026-04-30,SEC00153,CL781,PORT-030,28688.0,63.51,GBP,Matched,Murex
TRD0000035,2026-04-18,2026-05-02,SEC00237,CL876,PORT-004,9235.0,71.61,JPY,Unmatched,Aladdin
TRD0000036,2026-05-06,2026-04-24,SEC00275,CL666,PORT-037,15835.0,55.83,GBP,Booked,SimCorp
TRD0000037,2026-05-11,2026-04-16,SEC00168,CL695,PORT-021,28832.0,152.21,CAD,Booked,Aladdin
TRD0000038,2026-04-25,2026-05-03,SEC00205,CL808,PORT-010,3997.0,72.37,INR,Matched,Aladdin
TRD0000039,2026-05-18,2026-04-26,SEC00236,CL342,PORT-022,22203.0,65.26,USD,Unmatched,Aladdin
TRD0000040,2026-05-04,2026-04-30,SEC00220,CL325,PORT-002,21991.0,101.17,INR,Booked,Aladdin
TRD0000041,2026-04-25,2026-05-09,SEC00042,CL535,PORT-073,32769.0,58.68,EUR,Unmatched,Aladdin
TRD0000042,2026-05-07,2026-05-08,SEC00314,CL667,PORT-079,6128.0,94.88,EUR,Booked,Bloomberg AIM
TRD0000043,2026-04-23,2026-05-18,SEC00052,CL680,PORT-030,30072.0,37.2,GBP,Booked,SimCorp
TRD0000044,2026-04-29,2026-05-02,SEC00131,CL238,PORT-070,13804.0,56.9,EUR,Booked,SimCorp
TRD0000045,2026-04-14,2026-04-19,SEC00208,CL801,PORT-037,14647.0,96.27,CAD,Unmatched,Murex
TRD0000046,2026-05-11,2026-04-21,SEC00129,CL427,PORT-073,8835.0,115.53,CAD,Booked,Murex
TRD0000047,2026-05-17,2026-04-07,SEC00077,CL888,PORT-014,9841.0,50.87,USD,Matched,Bloomberg AIM
TRD0000048,2026-04-26,2026-05-20,SEC00295,CL751,PORT-023,21026.0,48.84,EUR,Booked,SimCorp
TRD0000049,2026-05-08,2026-04-17,SEC00022,CL983,PORT-059,9658.0,81.34,GBP,Unmatched,Bloomberg AIM
TRD0000050,2026-04-18,2026-04-16,SEC00078,CL667,PORT-018,23552.0,53.62,INR,Matched,SimCorp
TRD0000051,2026-05-15,2026-05-02,SEC00317,CL574,PORT-066,13028.0,60.7,JPY,Booked,SimCorp
TRD0000052,2026-04-24,2026-05-09,SEC00233,CL268,PORT-034,-8902.0,90.63,INR,Booked,SimCorp
TRD0000053,2026-04-05,2026-05-05,SEC00027,CL458,PORT-032,14041.0,55.12,USD,Booked,Aladdin
TRD0000054,2026-05-15,2026-04-21,SEC00241,CL871,PORT-036,20525.0,33.52,JPY,Booked,Aladdin
TRD0000055,2026-05-06,2026-04-13,SEC00310,CL443,PORT-064,15920.0,42.29,EUR,Matched,Bloomberg AIM
TRD0000056,2026-04-12,2026-04-23,SEC00031,CL147,PORT-001,18257.0,66.92,EUR,Matched,Murex
TRD0000057,2026-04-25,2026-04-28,SEC00132,CL320,PORT-060,23222.0,34.74,INR,Matched,SimCorp
TRD0000058,2026-05-12,2026-04-22,SEC00149,CL635,PORT-062,26118.0,60.1,USD,Matched,Aladdin
TRD0000059,2026-05-10,2026-05-18,SEC00041,CL665,PORT-065,15674.0,40.97,USD,Matched,Bloomberg AIM
TRD0000060,2026-04-15,2026-04-24,SEC00064,CL984,PORT-079,10168.0,118.39,GBP,Booked,Murex
TRD0000061,2026-04-11,2026-05-20,SEC00055,CL939,PORT-062,18571.0,142.28,INR,Booked,Bloomberg AIM
TRD0000062,2026-05-03,2026-04-08,SEC00059,CL577,PORT-042,21530.0,46.05,JPY,Booked,Aladdin
TRD0000063,2026-04-28,2026-04-11,SEC00129,CL598,PORT-037,7045.0,72.96,USD,Matched,Aladdin
TRD0000064,2026-04-14,2026-04-29,SEC00148,CL819,PORT-031,11320.0,47.65,INR,Booked,Bloomberg AIM
TRD0000065,2026-05-12,2026-05-05,SEC00076,CL143,PORT-066,12606.0,59.84,GBP,Matched,Murex
TRD0000066,2026-05-10,2026-04-19,SEC00092,CL635,PORT-032,16441.0,125.36,INR,Booked,Aladdin
TRD0000067,2026-04-15,2026-04-23,SEC00061,CL526,PORT-046,12292.0,56.64,EUR,Matched,Murex
TRD0000068,2026-05-11,2026-04-20,SEC00254,CL803,PORT-008,23303.0,60.33,CAD,Booked,Murex
TRD0000069,2026-04-15,2026-04-28,SEC00067,CL819,PORT-026,-5962.0,47.95,EUR,Matched,Aladdin
TRD0000070,2026-04-27,2026-05-11,SEC00290,CL689,PORT-022,6152.0,99.6,CAD,Booked,Aladdin
TRD0000071,2026-04-05,2026-05-18,SEC00172,CL690,PORT-035,15496.0,21.28,GBP,Booked,Aladdin
TRD0000072,2026-05-18,2026-05-09,SEC00256,CL721,PORT-040,16683.0,57.11,INR,Booked,Bloomberg AIM
TRD0000073,2026-04-07,2026-04-28,SEC00203,CL621,PORT-057,7090.0,65.62,JPY,Matched,Aladdin
TRD0000074,2026-05-09,2026-05-02,SEC00085,CL304,PORT-035,13449.0,52.91,USD,Matched,Murex
TRD0000075,2026-05-18,2026-04-29,SEC00192,CL355,PORT-012,14992.0,90.22,USD,Booked,Aladdin
TRD0000076,2026-04-17,2026-05-09,SEC00087,CL766,PORT-044,15050.0,101.57,GBP,Matched,Bloomberg AIM
TRD0000077,2026-04-26,2026-04-09,SEC00037,CL655,PORT-005,19139.0,40.68,EUR,Matched,Murex
TRD0000078,2026-04-12,2026-05-05,SEC00081,CL313,PORT-068,13038.0,138.76,JPY,Matched,Aladdin
TRD0000079,2026-05-15,2026-04-13,SEC00088,CL889,PORT-061,29084.0,40.52,USD,Matched,SimCorp
TRD0000080,2026-05-16,2026-05-04,SEC00043,CL981,PORT-018,21662.0,104.69,JPY,Booked,Murex
TRD0000081,2026-04-24,2026-05-02,SEC00007,CL662,PORT-021,11947.0,70.28,EUR,Matched,Aladdin
TRD0000082,2026-04-10,2026-04-24,SEC00302,CL304,PORT-003,18709.0,55.91,EUR,Matched,SimCorp
TRD0000083,2026-05-01,2026-05-10,SEC00164,CL943,PORT-029,18930.0,57.78,GBP,Matched,SimCorp
TRD0000084,2026-04-14,2026-05-12,SEC00128,CL312,PORT-004,27110.0,65.91,JPY,Booked,Aladdin
TRD0000085,2026-04-09,2026-05-04,SEC00297,CL488,PORT-074,13497.0,71.73,GBP,Matched,SimCorp
TRD0000086,2026-04-10,2026-04-15,SEC00071,CL871,PORT-011,23755.0,48.32,GBP,Booked,SimCorp
TRD0000087,2026-04-27,2026-05-15,SEC00128,CL568,PORT-053,18314.0,61.44,GBP,Matched,SimCorp
TRD0000088,2026-04-18,2026-05-02,SEC00270,CL318,PORT-046,29187.0,50.92,GBP,Booked,Murex
TRD0000089,2026-04-26,2026-04-21,SEC00202,CL172,PORT-019,27682.0,43.59,GBP,Booked,Aladdin
TRD0000090,2026-04-19,2026-04-20,SEC00127,CL424,PORT-064,19477.0,50.1,CAD,Matched,SimCorp
TRD0000091,2026-04-24,2026-05-02,SEC00081,CL704,PORT-009,16033.0,44.59,JPY,Unmatched,Aladdin
TRD0000092,2026-04-26,2026-05-18,SEC00011,CL742,PORT-071,21800.0,57.57,GBP,Booked,Murex
TRD0000093,2026-04-30,2026-05-21,SEC00027,CL300,PORT-059,16647.0,77.58,INR,Matched,Bloomberg AIM
TRD0000094,2026-04-20,2026-04-30,SEC00051,CL242,PORT-051,30602.0,69.56,JPY,Matched,Bloomberg AIM
TRD0000095,2026-04-16,2026-04-15,SEC00251,CL730,PORT-070,18589.0,133.09,CAD,Unmatched,Aladdin
TRD0000096,2026-04-08,2026-05-20,SEC00204,CL243,PORT-032,14958.0,30.76,JPY,Matched,SimCorp
TRD0000097,2026-04-22,2026-04-12,SEC00138,CL157,PORT-023,14553.0,78.59,EUR,Booked,Aladdin
TRD0000098,2026-05-15,2026-04-21,SEC00250,CL537,PORT-013,8902.0,66.84,JPY,Booked,SimCorp
TRD0000099,2026-04-23,2026-05-21,SEC00051,CL613,PORT-074,22174.0,88.72,INR,Matched,Murex
TRD0000100,2026-05-05,2026-05-06,SEC00067,CL319,PORT-032,11850.0,85.69,EUR,Booked,Bloomberg AIM
TRD0000101,2026-05-18,2026-05-12,SEC00125,CL289,PORT-066,26236.0,62.94,EUR,Unmatched,Aladdin
TRD0000102,2026-05-16,2026-04-09,SEC00293,CL311,PORT-027,8303.0,70.84,JPY,Unmatched,SimCorp
TRD0000103,2026-04-23,2026-04-27,SEC00196,CL408,PORT-076,18954.0,51.4,CAD,Unmatched,Murex
TRD0000104,2026-04-07,2026-05-07,SEC00272,CL108,PORT-069,26627.0,82.66,GBP,Booked,Aladdin
TRD0000105,2026-04-27,2026-05-09,UNKNOWN,CL110,PORT-025,1858.0,34.55,JPY,Matched,Murex
TRD0000106,2026-04-29,2026-04-26,SEC00271,CL433,PORT-039,33137.0,87.52,JPY,Matched,SimCorp
TRD0000107,2026-05-16,2026-05-21,SEC00023,CL117,PORT-063,14810.0,66.15,JPY,Booked,SimCorp
TRD0000108,2026-04-19,2026-05-10,SEC00072,CL386,PORT-018,19058.0,56.23,USD,Booked,Murex
TRD0000109,2026-05-17,2026-05-14,SEC00167,CL622,PORT-002,22286.0,61.47,GBP,Booked,Bloomberg AIM
TRD0000110,2026-04-12,2026-04-24,SEC00016,CL128,PORT-023,23446.0,63.07,CAD,Booked,SimCorp
TRD0000111,2026-04-13,2026-04-21,SEC00274,CL655,PORT-047,20054.0,105.01,CAD,Unmatched,Aladdin
TRD0000112,2026-04-05,2026-04-30,SEC00277,CL658,PORT-011,25480.0,206.79,INR,Unmatched,Aladdin
TRD0000113,2026-05-07,2026-05-15,SEC00173,CL615,PORT-027,21893.0,102.2,USD,Booked,SimCorp
TRD0000114,2026-05-12,2026-05-05,SEC00097,CL663,PORT-073,31207.0,54.71,GBP,Matched,Aladdin
TRD0000115,2026-05-06,2026-04-14,SEC00031,CL827,PORT-006,21917.0,83.13,USD,Booked,Murex
TRD0000116,2026-04-14,2026-05-12,SEC00198,CL163,PORT-004,32735.0,84.41,EUR,Booked,Aladdin
TRD0000117,2026-05-10,2026-05-14,SEC00172,CL251,PORT-034,24758.0,48.24,CAD,Booked,Bloomberg AIM
TRD0000118,2026-04-10,2026-05-16,SEC00243,CL385,PORT-002,4457.0,42.89,GBP,Matched,Murex
TRD0000119,2026-05-13,2026-04-15,SEC00192,CL718,PORT-003,37583.0,65.23,EUR,Matched,SimCorp
TRD0000120,2026-05-17,2026-05-16,SEC00041,CL884,PORT-015,13692.0,88.47,INR,Matched,Bloomberg AIM
TRD0000121,2026-05-10,2026-04-25,SEC00038,CL925,PORT-009,29217.0,37.93,INR,Unmatched,Aladdin
TRD0000122,2026-04-16,2026-04-07,SEC00249,CL623,PORT-065,18201.0,51.82,JPY,Booked,Bloomberg AIM
TRD0000123,2026-04-22,2026-04-23,SEC00050,CL468,PORT-010,25958.0,81.49,INR,Matched,Murex
TRD0000124,2026-05-04,2026-05-03,SEC00300,CL470,PORT-042,12836.0,67.67,INR,Booked,Murex
TRD0000125,2026-04-20,2026-05-12,SEC00033,CL153,PORT-056,22693.0,109.47,JPY,Booked,Aladdin
TRD0000126,2026-04-20,2026-05-21,SEC00233,CL518,PORT-050,16101.0,40.69,CAD,Matched,SimCorp
TRD0000127,2026-04-25,2026-05-14,SEC00312,CL561,PORT-052,29843.0,151.91,EUR,Booked,Bloomberg AIM
TRD0000128,2026-04-26,2026-04-09,SEC00141,CL287,PORT-029,21290.0,38.93,GBP,Booked,Murex
TRD0000129,2026-05-15,2026-05-15,SEC00018,CL790,PORT-071,25020.0,32.78,JPY,Booked,SimCorp
TRD0000130,2026-05-08,2026-05-21,SEC00280,CL829,PORT-006,1769.0,65.33,INR,Booked,Murex
TRD0000131,2026-04-26,2026-04-15,SEC00059,CL371,PORT-009,17358.0,44.83,GBP,Unmatched,Aladdin
TRD0000132,2026-05-13,2026-05-03,SEC00168,CL921,PORT-068,21079.0,65.79,GBP,Booked,Bloomberg AIM
TRD0000133,2026-04-28,2026-05-05,SEC00315,CL196,PORT-006,19677.0,64.99,USD,Matched,SimCorp
TRD0000134,2026-05-14,2026-04-19,SEC00238,CL918,PORT-016,25209.0,62.27,JPY,Cancelled,Bloomberg AIM
TRD0000135,2026-04-14,2026-04-28,SEC00014,CL790,PORT-014,15256.0,49.66,USD,Matched,Bloomberg AIM
TRD0000136,2026-05-15,2026-04-10,SEC00262,CL301,PORT-003,18366.0,77.59,GBP,Booked,SimCorp
TRD0000137,2026-05-15,2026-04-30,SEC00051,CL684,PORT-010,26859.0,59.68,GBP,Unmatched,Murex
TRD0000138,2026-04-21,2026-04-19,SEC00239,CL379,PORT-046,910.0,98.13,INR,Booked,Murex
TRD0000139,2026-05-10,2026-04-12,SEC00198,CL818,PORT-053,22420.0,62.61,GBP,Booked,Murex
TRD0000140,2026-05-04,2026-05-01,SEC00092,CL244,PORT-007,15496.0,47.58,USD,Matched,Aladdin
TRD0000141,2026-05-05,2026-05-09,SEC00135,CL320,PORT-075,11158.0,36.94,JPY,Matched,SimCorp
TRD0000142,2026-05-10,2026-04-08,SEC00037,CL376,PORT-008,20524.0,62.79,EUR,Matched,Bloomberg AIM
TRD0000143,2026-04-15,2026-05-11,SEC00315,CL279,PORT-055,27206.0,42.77,GBP,Booked,Murex
TRD0000144,2026-04-18,2026-05-20,SEC00076,CL399,PORT-064,25794.0,41.58,EUR,Matched,SimCorp
TRD0000145,2026-05-09,2026-04-25,SEC00098,CL641,PORT-042,16987.0,80.21,USD,Matched,Bloomberg AIM
TRD0000146,2026-04-19,2026-04-07,SEC00160,CL669,PORT-039,24568.0,35.8,CAD,Cancelled,Bloomberg AIM
TRD0000147,2026-04-17,2026-05-18,SEC00215,CL597,PORT-009,24511.0,109.32,EUR,Booked,Aladdin
TRD0000148,2026-04-25,2026-04-13,SEC00161,CL270,PORT-020,17345.0,70.52,JPY,Booked,Murex
TRD0000149,2026-04-23,2026-04-14,SEC00161,CL281,PORT-068,12802.0,65.67,INR,Unmatched,SimCorp
TRD0000150,2026-04-07,2026-04-10,SEC00186,CL926,PORT-028,13236.0,46.42,GBP,Matched,Bloomberg AIM
TRD0000151,2026-04-29,2026-05-03,SEC00274,CL325,PORT-003,24284.0,87.14,CAD,Booked,SimCorp
TRD0000152,2026-05-02,2026-05-10,SEC00126,CL192,PORT-058,17684.0,66.62,GBP,Booked,Aladdin
TRD0000153,2026-04-25,2026-04-28,SEC00266,CL508,PORT-055,10154.0,52.45,CAD,Matched,SimCorp
TRD0000154,2026-04-12,2026-05-15,SEC00251,CL106,PORT-006,5364.0,71.52,GBP,Matched,Bloomberg AIM
TRD0000155,2026-04-18,2026-04-14,SEC00307,CL408,PORT-005,24239.0,37.0,USD,Matched,SimCorp
TRD0000156,2026-05-16,2026-04-22,SEC00292,CL868,PORT-010,13899.0,37.62,CAD,Unmatched,Murex
TRD0000157,2026-04-29,2026-04-30,SEC00255,CL340,PORT-005,20478.0,45.06,CAD,Booked,Murex
TRD0000158,2026-04-16,2026-04-28,SEC00078,CL732,PORT-049,27298.0,75.36,CAD,Booked,Bloomberg AIM
TRD0000159,2026-05-09,2026-04-19,SEC00247,CL540,PORT-011,8183.0,66.61,USD,Matched,Murex
TRD0000160,2026-04-05,2026-04-28,SEC00235,CL419,PORT-048,17661.0,96.27,CAD,Unmatched,Murex
TRD0000161,2026-04-13,2026-04-14,SEC00092,CL694,PORT-014,16720.0,48.33,GBP,Booked,Bloomberg AIM
TRD0000162,2026-04-11,2026-04-10,SEC00216,CL635,PORT-077,20848.0,81.54,CAD,Matched,Murex
TRD0000163,2026-05-16,2026-04-09,SEC00080,CL386,PORT-058,27294.0,64.08,CAD,Booked,Bloomberg AIM
TRD0000164,2026-04-23,2026-04-24,SEC00167,CL300,PORT-030,8029.0,47.94,EUR,Booked,Murex
TRD0000165,2026-04-26,2026-04-18,SEC00254,CL924,PORT-034,-22273.0,76.31,GBP,Unmatched,Aladdin
TRD0000166,2026-04-21,2026-05-08,SEC00060,CL251,PORT-006,-25736.0,65.16,EUR,Booked,SimCorp
TRD0000167,2026-04-11,2026-05-20,SEC00107,CL962,PORT-005,16602.0,53.51,EUR,Booked,Murex
TRD0000168,2026-05-04,2026-05-03,SEC00254,CL523,PORT-043,16969.0,67.67,JPY,Matched,SimCorp
TRD0000169,2026-04-25,2026-04-12,SEC00145,CL996,PORT-002,21138.0,63.73,GBP,Booked,Aladdin
TRD0000170,2026-04-19,2026-05-15,SEC00307,CL417,PORT-051,20586.0,63.19,JPY,Booked,Murex
TRD0000171,2026-04-16,2026-04-27,SEC00002,CL608,PORT-031,22368.0,57.72,INR,Matched,Bloomberg AIM
TRD0000172,2026-04-15,2026-05-13,SEC00230,CL653,PORT-012,22210.0,42.24,EUR,Booked,Murex
TRD0000173,2026-05-04,2026-05-02,SEC00260,CL404,PORT-043,10635.0,68.45,USD,Matched,Aladdin
TRD0000174,2026-04-05,2026-05-15,SEC00293,CL296,PORT-044,25427.0,50.35,INR,Booked,Aladdin
TRD0000175,2026-05-19,2026-04-18,SEC00050,CL567,PORT-059,26751.0,46.66,EUR,Booked,Bloomberg AIM
TRD0000176,2026-04-27,2026-04-15,SEC00314,CL695,PORT-016,19396.0,61.3,EUR,Matched,Aladdin
TRD0000177,2026-04-22,2026-04-17,SEC00125,CL335,PORT-044,6794.0,86.22,JPY,Booked,Bloomberg AIM
TRD0000178,2026-05-17,2026-04-20,SEC00112,CL789,PORT-067,17139.0,71.16,EUR,Unmatched,SimCorp
TRD0000179,2026-04-29,2026-05-11,SEC00113,CL674,PORT-022,19458.0,55.37,EUR,Unmatched,Aladdin
TRD0000180,2026-04-23,2026-04-28,SEC00204,CL249,PORT-066,9415.0,54.6,EUR,Unmatched,Murex
TRD0000181,2026-04-22,2026-05-17,SEC00210,CL943,PORT-058,15299.0,83.31,JPY,Booked,Aladdin
TRD0000182,2026-05-14,2026-05-05,SEC00151,CL139,PORT-034,7430.0,28.82,CAD,Booked,Murex
TRD0000183,2026-05-07,2026-04-29,SEC00022,CL687,PORT-070,22555.0,88.15,CAD,Unmatched,Aladdin
TRD0000184,2026-05-08,2026-04-21,SEC00315,CL495,PORT-077,19245.0,34.61,INR,Matched,Bloomberg AIM
TRD0000185,2026-04-21,2026-05-17,SEC00071,CL687,PORT-019,5657.0,40.63,CAD,Matched,Murex
TRD0000186,2026-05-05,2026-04-15,SEC00030,CL795,PORT-078,20636.0,55.7,JPY,Matched,Aladdin
TRD0000187,2026-04-24,2026-05-01,SEC00191,CL717,PORT-001,17576.0,142.53,GBP,Booked,Murex
TRD0000188,2026-04-17,2026-04-12,SEC00131,CL685,PORT-011,21873.0,119.95,INR,Booked,SimCorp
TRD0000189,2026-04-14,2026-04-28,SEC00196,CL855,PORT-004,15064.0,85.39,EUR,Matched,Bloomberg AIM
TRD0000190,2026-05-11,2026-04-27,SEC00280,CL730,PORT-030,11989.0,75.55,INR,Matched,Murex
TRD0000191,2026-04-09,2026-04-20,SEC00031,CL831,PORT-075,12219.0,34.75,CAD,Booked,Aladdin
TRD0000192,2026-05-12,2026-04-15,SEC00090,CL462,PORT-048,13964.0,70.45,GBP,Matched,SimCorp
TRD0000193,2026-05-19,2026-05-14,SEC00165,CL282,PORT-049,18141.0,55.02,JPY,Matched,Murex
TRD0000194,2026-05-17,2026-04-28,SEC00252,CL311,PORT-007,19110.0,50.11,INR,Booked,Aladdin
TRD0000195,2026-05-10,2026-05-20,SEC00192,CL650,PORT-041,16570.0,70.4,INR,Booked,Aladdin
TRD0000196,2026-04-10,2026-04-30,SEC00122,CL578,PORT-031,14825.0,56.55,EUR,Matched,SimCorp
TRD0000197,2026-05-10,2026-04-15,SEC00195,CL169,PORT-038,15364.0,90.4,CAD,Matched,Bloomberg AIM
TRD0000198,2026-04-18,2026-04-13,SEC00313,CL283,PORT-021,36808.0,33.87,JPY,Unmatched,Murex
TRD0000199,2026-05-01,2026-05-09,SEC00153,CL969,PORT-016,12220.0,68.46,USD,Booked,Bloomberg AIM
TRD0000200,2026-05-18,2026-05-04,SEC00282,CL752,PORT-076,13815.0,49.02,USD,Unmatched,SimCorp
TRD0000201,2026-04-30,2026-04-27,SEC00249,CL778,PORT-045,42704.0,57.78,INR,Matched,Murex
TRD0000202,2026-05-18,2026-05-04,SEC00096,CL277,PORT-033,21158.0,74.19,GBP,Matched,Aladdin
TRD0000203,2026-04-28,2026-05-13,SEC00079,CL157,PORT-006,7650.0,45.1,USD,Booked,Murex
TRD0000204,2026-04-24,2026-05-08,SEC00246,CL361,PORT-061,24320.0,70.63,JPY,Booked,SimCorp
TRD0000205,2026-04-26,2026-05-03,SEC00066,CL870,PORT-038,11175.0,61.91,JPY,Matched,SimCorp
TRD0000206,2026-05-07,2026-04-28,SEC00107,CL555,PORT-031,24818.0,52.92,USD,Booked,Murex
TRD0000207,2026-04-15,2026-04-10,SEC00075,CL805,PORT-053,16418.0,56.56,GBP,Booked,Bloomberg AIM
TRD0000208,2026-04-23,2026-04-27,SEC00194,CL537,PORT-011,14702.0,63.17,GBP,Unmatched,SimCorp
TRD0000209,2026-05-08,2026-05-04,SEC00094,CL540,PORT-043,30069.0,50.97,INR,Booked,SimCorp
TRD0000210,2026-04-30,2026-04-22,SEC00210,CL640,PORT-069,22248.0,66.85,JPY,Unmatched,SimCorp
TRD0000211,2026-05-15,2026-04-17,SEC00299,CL962,PORT-037,25297.0,60.5,USD,Matched,Murex
TRD0000212,2026-04-08,2026-05-02,SEC00265,CL493,PORT-001,21262.0,53.84,JPY,Matched,Aladdin
TRD0000213,2026-04-16,2026-04-29,SEC00303,CL635,PORT-019,14667.0,116.33,CAD,Booked,Aladdin
TRD0000214,2026-05-07,2026-05-12,SEC00007,CL926,PORT-005,22585.0,77.12,USD,Matched,SimCorp
TRD0000215,2026-04-19,2026-04-13,SEC00145,CL434,PORT-040,27069.0,58.33,CAD,Matched,SimCorp
TRD0000216,2026-04-19,2026-04-12,SEC00070,CL855,PORT-029,19011.0,70.18,USD,Unmatched,Murex
TRD0000217,2026-04-22,2026-05-14,SEC00293,CL581,PORT-011,31512.0,46.55,JPY,Booked,Aladdin
TRD0000218,2026-05-17,2026-05-06,SEC00227,CL890,PORT-055,24379.0,57.23,GBP,Booked,Murex
TRD0000219,2026-04-10,2026-05-09,SEC00102,CL520,PORT-014,19590.0,59.62,INR,Unmatched,Murex
TRD0000220,2026-04-06,2026-04-10,UNKNOWN,CL665,PORT-027,19886.0,43.1,CAD,Booked,SimCorp
TRD0000221,2026-04-06,2026-05-19,SEC00193,CL390,PORT-079,19029.0,76.37,CAD,Matched,Murex
TRD0000222,2026-04-05,2026-05-12,SEC00158,CL670,PORT-006,8616.0,55.87,CAD,Booked,Murex
TRD0000223,2026-04-08,2026-05-07,SEC00151,CL393,PORT-020,17324.0,58.89,INR,Booked,Murex
TRD0000224,2026-04-16,2026-04-26,SEC00017,CL647,PORT-026,19659.0,54.65,EUR,Matched,SimCorp
TRD0000225,2026-05-17,2026-05-10,SEC00144,CL809,PORT-041,14879.0,187.86,GBP,Matched,SimCorp
TRD0000226,2026-04-29,2026-04-27,SEC00111,CL490,PORT-020,20533.0,52.88,INR,Matched,Murex
TRD0000227,2026-05-08,2026-04-18,SEC00261,CL485,PORT-077,18160.0,32.33,EUR,Matched,SimCorp
TRD0000228,2026-05-10,2026-04-14,SEC00276,CL389,PORT-001,23803.0,38.09,JPY,Matched,Aladdin
TRD0000229,2026-04-12,2026-05-17,SEC00240,CL756,PORT-075,22973.0,86.99,JPY,Cancelled,Bloomberg AIM
